,index,l,l_rank,l_att_span,l_att_global,l_att_dist,mF1,mF1_u,mAP,lr
0,0,7.172562599182129,1.1143525838851929,16.561607360839844,5818.37841796875,0.7421531081199646,0.0051211884284597334,0.034338333580870344,0.007711464572080828,0.0010000000474974513
1,4000,1.3279469013214111,1.0844335556030273,10.984920501708984,73.17977142333984,0.6048439145088196,0.0676309616888194,0.18862319916827566,0.01789369185253544,0.0010000000474974513
2,8000,1.660264253616333,1.492618203163147,9.705013275146484,41.64393997192383,0.2895185649394989,0.09261141516810006,0.2567651863953661,0.02490305369732661,0.0010000000474974513
3,12000,1.393774390220642,1.1943190097808838,7.960939884185791,32.150604248046875,0.8769541382789612,0.07779515246286162,0.2305658695975048,0.028904055545148768,0.0010000000474974513
4,16000,1.0321831703186035,0.9148164987564087,7.666649341583252,21.020484924316406,0.19679689407348633,0.09456606724003128,0.2693598693004604,0.0315661329192726,0.0010000000474974513
5,20000,1.0912117958068848,0.9864968061447144,7.489506721496582,14.536764144897461,0.1528318226337433,0.09847537138389369,0.26116144363582355,0.03362846724662259,0.0010000000474974513
6,24000,0.9441515803337097,0.8307825326919556,7.288545608520508,20.776792526245117,0.1970677375793457,0.10101641907740423,0.24791326303282343,0.03363513754040576,0.0010000000474974513
7,28000,0.9862804412841797,0.849390983581543,8.249974250793457,30.2637882232666,0.2412593513727188,0.12216575449569976,0.28403386306252787,0.035460968606954225,0.0010000000474974513
8,32000,0.8837812542915344,0.7370851635932922,7.805633068084717,36.279693603515625,0.32360076904296875,0.1150117279124316,0.26965691370859945,0.0358014759457948,0.0010000000474974513
9,36000,1.0362902879714966,0.9343376159667969,6.576112270355225,17.73921775817871,0.18452373147010803,0.13362001563721657,0.29841081241645623,0.03629152365681394,0.0010000000474974513
10,40000,1.0578572750091553,0.8308490514755249,7.408102989196777,98.80675506591797,0.5412042140960693,0.1027365129007037,0.2226050794593792,0.03853738294699135,0.000800000037997961
11,44000,0.7577856183052063,0.6633867025375366,6.5886006355285645,15.08915901184082,0.13423722982406616,0.12095387021110242,0.2866478538541512,0.036520485460294315,0.000800000037997961
12,48000,0.917559802532196,0.7789629697799683,5.808197975158691,34.075801849365234,0.46439051628112793,0.13049257232212666,0.2807069656913708,0.03641339246580524,0.000800000037997961
13,52000,1.256897211074829,1.1650421619415283,5.838151454925537,19.433921813964844,0.14039471745491028,0.1347928068803753,0.2567651863953661,0.037118580240824296,0.000800000037997961
14,56000,0.9181177020072937,0.7943674921989441,6.327587127685547,24.466163635253906,0.36008185148239136,0.1394057857701329,0.2832615476013664,0.03786840053159311,0.000800000037997961
15,60000,0.947063684463501,0.7635477185249329,5.396233558654785,43.317893981933594,0.8623572587966919,0.13060985144644255,0.2728649933165008,0.03799272890979457,0.000800000037997961
16,64000,0.9221175909042358,0.7800678014755249,6.024744510650635,29.220462799072266,0.5258193612098694,0.12232212666145426,0.2694192781820882,0.039191772587864084,0.000640000042039901
17,68000,0.7572128772735596,0.6502466201782227,5.780058860778809,21.91876983642578,0.272469162940979,0.12513682564503514,0.2888459824743799,0.03792967701140365,0.000640000042039901
18,72000,0.9698935151100159,0.8677921295166016,5.668849468231201,23.9090576171875,0.21503859758377075,0.13014073494917902,0.2735184910144066,0.03850858564601244,0.000640000042039901
19,76000,0.6173428893089294,0.5200537443161011,5.767098426818848,17.340808868408203,0.22277380526065826,0.1392103205629398,0.279459379177187,0.03867318331969813,0.000640000042039901
20,80000,1.0009024143218994,0.8982195258140564,5.889427661895752,22.483627319335938,0.21304887533187866,0.14194683346364348,0.29140056438437545,0.038875096701836885,0.000640000042039901
21,84000,0.8577865958213806,0.7054476141929626,6.344431400299072,35.36124038696289,0.5353342294692993,0.13635652853792024,0.26258725679489087,0.0400876026001923,0.000640000042039901
22,88000,0.7207862138748169,0.6328729391098022,5.497318744659424,20.58772087097168,0.12352319061756134,0.13076622361219703,0.29264815089855933,0.038188355202318586,0.0005120000569149852
23,92000,0.9418584704399109,0.8233436942100525,5.801666259765625,28.465734481811523,0.3203238248825073,0.13944487881157153,0.28926184464577454,0.03901754866792366,0.0005120000569149852
24,96000,1.1904205083847046,1.0924179553985596,5.501095771789551,23.039051055908203,0.19952484965324402,0.1398749022673964,0.27482548641021837,0.04051971889926837,0.0005120000569149852
25,100000,0.8782367706298828,0.7599034905433655,5.568115711212158,28.14349937438965,0.34508568048477173,0.13780297107114933,0.28771721372345166,0.03973200390783409,0.0005120000569149852
26,104000,0.9422920942306519,0.8182644844055176,5.557780742645264,33.21429443359375,0.3523555397987366,0.135652853792025,0.27518193969998517,0.040719766628355324,0.0005120000569149852
27,108000,0.8623190522193909,0.7327827215194702,5.2925519943237305,37.23368453979492,0.39377105236053467,0.1344800625488663,0.28646962720926783,0.040960401955091374,0.00040960003389045596
28,112000,0.8858082890510559,0.7215473651885986,5.231287479400635,46.98195266723633,0.6496611833572388,0.1344800625488663,0.2931828308332095,0.03935168390672301,0.00040960003389045596
